Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
252210080,O,V,Zlikwidowana,1946,2015,WYSZKÓW,212711,523522,W związku ze zmiana właściciela gruntu i koniecznością opuszczenia dotychczasowej lokalizacji w dniu 17.10.2014r dokonano przeniesienia ATSO z Wyszkowa do Rybienka. Pomiary opadowe wykonywane były do dnia 01.01.2015 roku.
251179992,O,V,Zlikwidowana,1980,1992,WYSZOGRÓD,1728,5112, 
249210220,O,V,Czynna,1980,0,WYSZOWADKA,212515,492714,ATSO bez obserwatora
249220350,K,IV,Czynna,2005,0,WYŻNIAŃSKI WIERCH,223509,490719,ATSM bez obserwatora
253219993,O,V,Zlikwidowana,1949,1990,ZABIELE WIELKIE,2122,5305, 
253230140,O,V,Czynna,1949,0,ZABŁUDÓW,232100,530111, w 05.2012 przeniesiona ok.1200 m na NE (stare wsp. 232009 i 530048)
249189990,K,IV,Zlikwidowana,1967,1992,ZABORZE,1848,4952, 
252230170,O,V,Zlikwidowana,1949,2014,ZABUŻE,230233,521843,likw. 05.09.2014 - rezygnacja obserwatora
249229996,K,IV,Zlikwidowana,1974,1997,ZADĄBROWIE,224900,495400, 
251230160,O,V,Zlikwidowana,1949,2015,ZAGRODA,232403,510446,stację zlikwidowano 1.01.2015; w 12.2010 przeniesiona ok. 470 m na E (stare wsp. 232339 i 510446)
251150240,O,V,Zlikwidowana,1949,2015,ZAGRODNO,155158,511122,stację zlikwidowano 1.01.2015
250220060,O,V,Zlikwidowana,1949,2015,ZAKLIKÓW,220527,504530,stację zlikwidowano 1.01.2015
250220050,O,V,Czynna,1973,0,ZAKŁODZIE,225141,504527,ATSO bez obserwatora
349190625,S,I,Czynna,1876,0,ZAKOPANE,195737,491738, 
252200110,O,V,Czynna,1947,0,ZAKROCZYM,203637,522554, 
250220020,O,V,Zlikwidowana,1948,2015,ZAKRZÓWEK,222248,505653,stację zlikwidowano 1.01.2015
249209982,O,V,Zlikwidowana,1945,1997,ZALESIE,202100,493700, 
252170010,O,V,Czynna,1949,0,ZALESIE,173558,525923, 
253179985,O,V,Zlikwidowana,1950,1992,ZAMARTE,172900,533600, 
